frame= 1807 fps= 30 q=21.0 size=   58112kB time=00:00:58.26 bitrate=8170.3kbits/s speed=0.968x    
frame= 1822 fps= 30 q=21.0 size=   58624kB time=00:00:58.76 bitrate=8172.1kbits/s speed=0.968x    
frame= 1837 fps= 30 q=21.0 size=   59392kB time=00:00:59.26 bitrate=8209.3kbits/s speed=0.969x    
frame= 1853 fps= 30 q=21.0 size=   59904kB time=00:00:59.80 bitrate=8206.2kbits/s speed=0.969x    
frame= 1869 fps= 30 q=21.0 size=   60672kB time=00:01:00.33 bitrate=8238.0kbits/s speed=0.969x    
frame= 1885 fps= 30 q=21.0 size=   61440kB time=00:01:00.86 bitrate=8269.2kbits/s speed=0.97x    
frame= 1900 fps= 30 q=21.0 size=   61952kB time=00:01:01.36 bitrate=8270.1kbits/s speed=0.97x    
frame= 1916 fps= 30 q=21.0 size=   62720kB time=00:01:01.90 bitrate=8300.5kbits/s speed=0.97x    
frame= 1931 fps= 30 q=21.0 size=   63232kB time=00:01:02.40 bitrate=8301.2kbits/s speed=0.97x    
frame= 1947 fps= 30 q=21.0 size=   63744kB time=00:01:02.93 bitrate=8297.5kbits/s speed=0.971x    
frame= 1963 fps= 30 q=21.0 size=   64256kB time=00:01:03.46 bitrate=8293.9kbits/s speed=0.971x    
frame= 1979 fps= 30 q=21.0 size=   64512kB time=00:01:04.00 bitrate=8257.5kbits/s speed=0.971x    
frame= 1995 fps= 30 q=21.0 size=   65024kB time=00:01:04.53 bitrate=8254.3kbits/s speed=0.971x    
frame= 2011 fps= 30 q=21.0 size=   65536kB time=00:01:05.06 bitrate=8251.1kbits/s speed=0.971x    
frame= 2026 fps= 30 q=21.0 size=   66048kB time=00:01:05.56 bitrate=8252.1kbits/s speed=0.972x    
frame= 2042 fps= 30 q=21.0 size=   66560kB time=00:01:06.10 bitrate=8249.0kbits/s speed=0.972x    
frame= 2058 fps= 30 q=21.0 size=   67072kB time=00:01:06.63 bitrate=8245.9kbits/s speed=0.972x    
frame= 2073 fps= 30 q=21.0 size=   67584kB time=00:01:07.13 bitrate=8247.0kbits/s speed=0.972x    
frame= 2089 fps= 30 q=21.0 size=   68096kB time=00:01:07.66 bitrate=8244.0kbits/s speed=0.973x    
frame= 2105 fps= 30 q=21.0 size=   68608kB time=00:01:08.20 bitrate=8241.0kbits/s speed=0.973x    
frame= 2120 fps= 30 q=21.0 size=   68864kB time=00:01:08.70 bitrate=8211.6kbits/s speed=0.973x    
frame= 2136 fps= 30 q=21.0 size=   69376kB time=00:01:09.23 bitrate=8208.9kbits/s speed=0.973x    
frame= 2151 fps= 30 q=21.0 size=   69888kB time=00:01:09.73 bitrate=8210.2kbits/s speed=0.973x    
frame= 2166 fps= 30 q=21.0 size=   70400kB time=00:01:10.23 bitrate=8211.4kbits/s speed=0.973x    
frame= 2182 fps= 30 q=21.0 size=   70912kB time=00:01:10.76 bitrate=8208.8kbits/s speed=0.974x    
frame= 2197 fps= 30 q=21.0 size=   71168kB time=00:01:11.26 bitrate=8180.7kbits/s speed=0.974x    
frame= 2213 fps= 30 q=21.0 size=   71680kB time=00:01:11.80 bitrate=8178.3kbits/s speed=0.974x    
frame= 2228 fps= 30 q=21.0 size=   72192kB time=00:01:12.30 bitrate=8179.8kbits/s speed=0.974x    
frame= 2244 fps= 30 q=21.0 size=   72704kB time=00:01:12.83 bitrate=8177.5kbits/s speed=0.974x    
frame= 2260 fps= 30 q=21.0 size=   73216kB time=00:01:13.36 bitrate=8175.2kbits/s speed=0.975x    
frame= 2276 fps= 30 q=21.0 size=   73472kB time=00:01:13.90 bitrate=8144.6kbits/s speed=0.975x    
frame= 2292 fps= 30 q=21.0 size=   73984kB time=00:01:14.43 bitrate=8142.5kbits/s speed=0.975x    
frame= 2307 fps= 30 q=21.0 size=   74496kB time=00:01:14.93 bitrate=8144.2kbits/s speed=0.975x    
frame= 2323 fps= 30 q=21.0 size=   75008kB time=00:01:15.46 bitrate=8142.2kbits/s speed=0.975x    
frame= 2338 fps= 30 q=21.0 size=   75520kB time=00:01:15.96 bitrate=8143.8kbits/s speed=0.975x    
frame= 2354 fps= 30 q=21.0 size=   76032kB time=00:01:16.50 bitrate=8141.9kbits/s speed=0.976x    
frame= 2369 fps= 30 q=21.0 size=   76544kB time=00:01:17.00 bitrate=8143.5kbits/s speed=0.976x    
