,Unnamed: 0,Participant,Block,Sequence,Sub_Sequence,Trial,Target_Type,Target_Name,Start_Time,End_Time,First_Reaction_Time,Mode_In_Time,Mode_Out_Time,Execution_Time,Reference_Action_Count,Incorrect_Action_Count,Error,IV_Surface,IV_Orientation,IV_Form,IV_Hand,Reference_Task
3493,3493,participant_37,4,8,18,613,posture,Right_Close_0_On,1567567777114,1567567778928,1567567778928,1848,1489,3337,29,0,False,On,180,Close,Right,click
3495,3495,participant_37,4,8,19,615,posture,Right_Close_0_Below,1567567780446,1567567781557,1567567781557,1140,1127,2267,28,0,False,Below,180,Close,Right,click
3497,3497,participant_37,4,8,20,617,posture,Right_Close_0_Beside,1567567784346,1567567785658,1567567785658,2974,1592,4566,24,3,False,Beside,180,Close,Right,word
3499,3499,participant_37,4,8,21,619,posture,Right_Close_90_On,1567567787281,1567567788558,1567567788558,1308,1258,2566,28,0,False,On,90,Close,Right,click
3501,3501,participant_37,4,8,22,621,posture,Right_Close_90_Below,1567567790649,1567567791927,1567567791927,2111,1155,3266,16,12,False,Below,90,Close,Right,word
3503,3503,participant_37,4,8,23,623,posture,Right_Close_90_Beside,1567567793117,1567567794324,1567567794324,1242,1488,2730,23,4,False,Beside,90,Close,Right,click
3505,3505,participant_37,4,8,24,625,posture,Right_Close_180_On,1567567795850,1567567796890,1567567796890,1078,1523,2601,13,15,False,On,0,Close,Right,click
3507,3507,participant_37,4,8,25,627,posture,Right_Close_180_Below,1567567798450,1567567800126,1567567800126,1713,1123,2836,37,0,False,Below,0,Close,Right,click
3509,3509,participant_37,4,8,26,629,posture,Right_Close_180_Beside,1567567802380,1567567803597,1567567803597,2348,1288,3636,15,17,False,Beside,0,Close,Right,word
3511,3511,participant_37,4,8,27,631,posture,Right_Open_0_On,1567567804917,1567567806124,1567567806124,1239,1289,2528,27,0,False,On,180,Open,Right,click
3513,3513,participant_37,4,8,28,633,posture,Right_Open_0_Below,1567567808183,1567567809326,1567567809326,1913,1355,3268,23,8,False,Below,180,Open,Right,word
3515,3515,participant_37,4,8,29,635,posture,Right_Open_0_Beside,1567567811615,1567567813062,1567567813062,2381,2023,4404,20,4,False,Beside,180,Open,Right,word
3517,3517,participant_37,4,8,30,637,posture,Right_Open_90_On,1567567815116,1567567816162,1567567816162,1077,957,2034,25,4,False,On,90,Open,Right,click
3519,3519,participant_37,4,8,31,639,posture,Right_Open_90_Below,1567567817780,1567567818826,1567567818826,1707,1023,2730,19,8,False,Below,90,Open,Right,word
3521,3521,participant_37,4,8,32,641,posture,Right_Open_90_Beside,1567567820651,1567567821626,1567567821626,1777,1558,3335,20,4,False,Beside,90,Open,Right,word
3523,3523,participant_37,4,8,33,643,posture,Right_Open_180_On,1567567823214,1567567824331,1567567824331,1147,1953,3100,24,8,False,On,0,Open,Right,click
3525,3525,participant_37,4,8,34,645,posture,Right_Open_180_Below,1567567827115,1567567828594,1567567828594,2310,1224,3534,23,9,False,Below,0,Open,Right,word
3527,3527,participant_37,4,8,35,647,posture,Right_Open_180_Beside,1567567829850,1567567832065,1567567832065,2247,0,2247,23,8,False,Beside,0,Open,Right,click
3601,3601,participant_47,0,0,0,1,posture,Left_Close_0_On,1567802870371,1567802871853,1567802871853,1507,1260,2767,33,0,False,On,180,Close,Left,click
3605,3605,participant_47,0,0,2,5,posture,Left_Close_0_Beside,1567802881242,1567802883020,1567802883020,1812,1589,3401,28,0,False,Beside,180,Close,Left,click
3607,3607,participant_47,0,0,3,7,posture,Left_Close_90_On,1567802885673,1567802886920,1567802886920,2311,1286,3597,17,0,False,On,90,Close,Left,word
3609,3609,participant_47,0,0,4,9,posture,Left_Close_90_Below,1567802889773,1567802890784,1567802890784,2578,1857,4435,16,0,False,Below,90,Close,Left,word
3611,3611,participant_47,0,0,5,11,posture,Left_Close_90_Beside,1567802892677,1567802894019,1567802894019,1378,1623,3001,28,0,False,Beside,90,Close,Left,click
3613,3613,participant_47,0,0,6,13,posture,Left_Close_180_On,1567802897608,1567802898651,1567802898651,3009,1423,4432,26,0,False,On,0,Close,Left,word
3615,3615,participant_47,0,0,7,15,posture,Left_Close_180_Below,1567802900106,1567802901324,1567802901324,1250,1751,3001,19,9,False,Below,0,Close,Left,click
3617,3617,participant_47,0,0,8,17,posture,Left_Close_180_Beside,1567802903107,1567802904355,1567802904355,1280,1322,2602,18,12,False,Beside,0,Close,Left,click
3619,3619,participant_47,0,0,9,19,posture,Left_Open_0_On,1567802907277,1567802908487,1567802908487,2810,1821,4631,20,7,False,On,180,Open,Left,word
3621,3621,participant_47,0,0,10,21,posture,Left_Open_0_Below,1567802911945,1567802913158,1567802913158,2850,1549,4399,25,3,False,Below,180,Open,Left,word
3623,3623,participant_47,0,0,11,23,posture,Left_Open_0_Beside,1567802914741,1567802915852,1567802915852,1145,1126,2271,23,4,False,Beside,180,Open,Left,click
3627,3627,participant_47,0,0,13,27,posture,Left_Open_90_Below,1567802922612,1567802922787,1567802922787,211,2293,2504,7,0,False,Below,90,Open,Left,click
3629,3629,participant_47,0,0,14,29,posture,Left_Open_90_Beside,1567802926145,1567802928519,1567802928519,3439,1689,5128,28,0,False,Beside,90,Open,Left,word
3631,3631,participant_47,0,0,15,31,posture,Left_Open_180_On,1567802930241,1567802931755,1567802931755,1547,1657,3204,27,0,False,On,0,Open,Left,click
3633,3633,participant_47,0,0,16,33,posture,Left_Open_180_Below,1567802935841,1567802937458,1567802937458,4046,1353,5399,26,5,False,Below,0,Open,Left,word
3635,3635,participant_47,0,0,17,35,posture,Left_Open_180_Beside,1567802939879,1567802942690,1567802942690,3879,1956,5835,23,9,False,Beside,0,Open,Left,word
3637,3637,participant_47,0,0,18,37,posture,Right_Close_0_On,1567802944678,1567802946123,1567802946123,1477,1624,3101,31,0,False,On,180,Close,Right,click
3639,3639,participant_47,0,0,19,39,posture,Right_Close_0_Below,1567802947778,1567802948657,1567802948657,910,1289,2199,23,0,False,Below,180,Close,Right,click
3641,3641,participant_47,0,0,20,41,posture,Right_Close_0_Beside,1567802950778,1567802952126,1567802952126,2180,1786,3966,24,3,False,Beside,180,Close,Right,word
3643,3643,participant_47,0,0,21,43,posture,Right_Close_90_On,1567802953944,1567802956395,1567802956395,2483,1584,4067,28,0,False,On,90,Close,Right,click
3645,3645,participant_47,0,0,22,45,posture,Right_Close_90_Below,1567802959546,1567802960824,1567802960824,2845,1723,4568,16,12,False,Below,90,Close,Right,word
3647,3647,participant_47,0,0,23,47,posture,Right_Close_90_Beside,1567802962576,1567802963922,1567802963922,1375,1325,2700,26,4,False,Beside,90,Close,Right,click
3649,3649,participant_47,0,0,24,49,posture,Right_Close_180_On,1567802965280,1567802966692,1567802966692,1445,1684,3129,13,15,False,On,0,Close,Right,click
3651,3651,participant_47,0,0,25,51,posture,Right_Close_180_Below,1567802968413,1567802969588,1567802969588,1212,1289,2501,21,3,False,Below,0,Close,Right,click
3653,3653,participant_47,0,0,26,53,posture,Right_Close_180_Beside,1567802971846,1567802973157,1567802973157,2280,1358,3638,22,8,False,Beside,0,Close,Right,word
3655,3655,participant_47,0,0,27,55,posture,Right_Open_0_On,1567802974546,1567802975823,1567802975823,1308,1325,2633,27,0,False,On,180,Open,Right,click
3657,3657,participant_47,0,0,28,57,posture,Right_Open_0_Below,1567802978082,1567802978992,1567802978992,1844,1552,3396,27,0,False,Below,180,Open,Right,word
3659,3659,participant_47,0,0,29,59,posture,Right_Open_0_Beside,1567802982847,1567802983887,1567802983887,3343,1692,5035,20,4,False,Beside,180,Open,Right,word
3661,3661,participant_47,0,0,30,61,posture,Right_Open_90_On,1567802985613,1567802987122,1567802987122,1543,1225,2768,25,4,False,On,90,Open,Right,click
3663,3663,participant_47,0,0,31,63,posture,Right_Open_90_Below,1567802990411,1567802991389,1567802991389,3042,1558,4600,9,8,False,Below,90,Open,Right,word
3665,3665,participant_47,0,0,32,65,posture,Right_Open_90_Beside,1567802994846,1567802995960,1567802995960,3013,1918,4931,27,4,False,Beside,90,Open,Right,word
3667,3667,participant_47,0,0,33,67,posture,Right_Open_180_On,1567802997910,1567802998988,1567802998988,1110,1262,2372,18,0,False,On,0,Open,Right,click
3669,3669,participant_47,0,0,34,69,posture,Right_Open_180_Below,1567803002677,1567803003924,1567803003924,3674,1624,5298,23,9,False,Below,0,Open,Right,word
3671,3671,participant_47,0,0,35,71,posture,Right_Open_180_Beside,1567803005579,1567803006726,1567803006726,1178,0,1178,27,4,False,Beside,0,Open,Right,click
3745,3745,participant_47,1,2,0,145,posture,Left_Close_0_On,1567803219457,1567803220663,1567803220663,1244,1093,2337,26,4,False,On,180,Close,Left,click
3747,3747,participant_47,1,2,1,147,posture,Left_Close_0_Below,1567803222722,1567803223766,1567803223766,2010,1454,3464,24,0,False,Below,180,Close,Left,word
3749,3749,participant_47,1,2,2,149,posture,Left_Close_0_Beside,1567803225254,1567803226432,1567803226432,1212,1122,2334,29,0,False,Beside,180,Close,Left,click
3751,3751,participant_47,1,2,3,151,posture,Left_Close_90_On,1567803228185,1567803229367,1567803229367,1813,1422,3235,29,0,False,On,90,Close,Left,word
3753,3753,participant_47,1,2,4,153,posture,Left_Close_90_Below,1567803234520,1567803235567,1567803235567,4778,1623,6401,20,2,False,Below,90,Close,Left,word
3755,3755,participant_47,1,2,5,155,posture,Left_Close_90_Beside,1567803237222,1567803238467,1567803238467,1277,1252,2529,34,0,False,Beside,90,Close,Left,click
3757,3757,participant_47,1,2,6,157,posture,Left_Close_180_On,1567803240318,1567803241431,1567803241431,1712,1728,3440,28,0,False,On,0,Close,Left,word
3759,3759,participant_47,1,2,7,159,posture,Left_Close_180_Below,1567803243188,1567803244231,1567803244231,1072,1227,2299,20,6,False,Below,0,Close,Left,click
3761,3761,participant_47,1,2,8,161,posture,Left_Close_180_Beside,1567803245489,1567803246731,1567803246731,1273,1224,2497,34,0,False,Beside,0,Close,Left,click
3763,3763,participant_47,1,2,9,163,posture,Left_Open_0_On,1567803249423,1567803250466,1567803250466,2511,1125,3636,29,0,False,On,180,Open,Left,word
3765,3765,participant_47,1,2,10,165,posture,Left_Open_0_Below,1567803252690,1567803253669,1567803253669,2078,1187,3265,19,3,False,Below,180,Open,Left,word
3767,3767,participant_47,1,2,11,167,posture,Left_Open_0_Beside,1567803254885,1567803255800,1567803255800,944,1156,2100,25,0,False,Beside,180,Open,Left,click
3769,3769,participant_47,1,2,12,169,posture,Left_Open_90_On,1567803257722,1567803258867,1567803258867,1911,1222,3133,28,0,False,On,90,Open,Left,word
3771,3771,participant_47,1,2,13,171,posture,Left_Open_90_Below,1567803260120,1567803260120,1567803260120,31,1069,1100,0,0,False,Below,90,Open,Left,click
3775,3775,participant_47,1,2,15,175,posture,Left_Open_180_On,1567803269624,1567803270800,1567803270800,1209,1055,2264,27,0,False,On,0,Open,Left,click
3777,3777,participant_47,1,2,16,177,posture,Left_Open_180_Below,1567803272924,1567803274538,1567803274538,2683,1218,3901,23,15,False,Below,0,Open,Left,word
3779,3779,participant_47,1,2,17,179,posture,Left_Open_180_Beside,1567803276724,1567803277764,1567803277764,2008,1258,3266,20,9,False,Beside,0,Open,Left,word
3781,3781,participant_47,1,2,18,181,posture,Right_Close_0_On,1567803279054,1567803280867,1567803280867,1845,1326,3171,29,0,False,On,180,Close,Right,click
3783,3783,participant_47,1,2,19,183,posture,Right_Close_0_Below,1567803282222,1567803283399,1567803283399,1206,1155,2361,30,0,False,Below,180,Close,Right,click
3785,3785,participant_47,1,2,20,185,posture,Right_Close_0_Beside,1567803285488,1567803286599,1567803286599,2045,1591,3636,30,0,False,Beside,180,Close,Right,word
3787,3787,participant_47,1,2,21,187,posture,Right_Close_90_On,1567803288225,1567803289403,1567803289403,1213,1121,2334,28,0,False,On,90,Close,Right,click
3789,3789,participant_47,1,2,22,189,posture,Right_Close_90_Below,1567803291722,1567803293231,1567803293231,2707,1158,3865,16,12,False,Below,90,Close,Right,word
3791,3791,participant_47,1,2,23,191,posture,Right_Close_90_Beside,1567803294421,1567803295400,1567803295400,1011,1259,2270,23,4,False,Beside,90,Close,Right,click
3793,3793,participant_47,1,2,24,193,posture,Right_Close_180_On,1567803296691,1567803297903,1567803297903,1244,1388,2632,24,4,False,On,0,Close,Right,click
3795,3795,participant_47,1,2,25,195,posture,Right_Close_180_Below,1567803299324,1567803301400,1567803301400,2109,1258,3367,29,12,False,Below,0,Close,Right,click
3797,3797,participant_47,1,2,26,197,posture,Right_Close_180_Beside,1567803304524,1567803305535,1567803305535,2877,1656,4533,20,9,False,Beside,0,Close,Right,word
3799,3799,participant_47,1,2,27,199,posture,Right_Open_0_On,1567803307222,1567803308232,1567803308232,1041,1193,2234,27,0,False,On,180,Open,Right,click
3801,3801,participant_47,1,2,28,201,posture,Right_Open_0_Below,1567803310521,1567803311335,1567803311335,1910,1087,2997,22,0,False,Below,180,Open,Right,word
3803,3803,participant_47,1,2,29,203,posture,Right_Open_0_Beside,1567803313620,1567803314636,1567803314636,2214,1455,3669,19,10,False,Beside,180,Open,Right,word
3805,3805,participant_47,1,2,30,205,posture,Right_Open_90_On,1567803316124,1567803317434,1567803317434,1343,1157,2500,25,4,False,On,90,Open,Right,click
3807,3807,participant_47,1,2,31,207,posture,Right_Open_90_Below,1567803320090,1567803321038,1567803321038,2447,1089,3536,17,6,False,Below,90,Open,Right,word
3809,3809,participant_47,1,2,32,209,posture,Right_Open_90_Beside,1567803323224,1567803324367,1567803324367,2240,1256,3496,24,4,False,Beside,90,Open,Right,word
3811,3811,participant_47,1,2,33,211,posture,Right_Open_180_On,1567803325658,1567803326936,1567803326936,1313,1254,2567,15,16,False,On,0,Open,Right,click
3813,3813,participant_47,1,2,34,213,posture,Right_Open_180_Below,1567803328889,1567803329467,1567803329467,1277,2222,3499,16,0,False,Below,0,Open,Right,word
3815,3815,participant_47,1,2,35,215,posture,Right_Open_180_Beside,1567803331722,1567803332933,1567803332933,1244,0,1244,17,16,False,Beside,0,Open,Right,click
3889,3889,participant_47,2,4,0,289,posture,Left_Close_0_On,1567803498195,1567803499410,1567803499410,1244,1054,2298,27,0,False,On,180,Close,Left,click
3891,3891,participant_47,2,4,1,291,posture,Left_Close_0_Below,1567803501495,1567803502338,1567803502338,1874,1658,3532,26,0,False,Below,180,Close,Left,word
3893,3893,participant_47,2,4,2,293,posture,Left_Close_0_Beside,1567803504028,1567803505177,1567803505177,1181,1088,2269,29,0,False,Beside,180,Close,Left,click
3895,3895,participant_47,2,4,3,295,posture,Left_Close_90_On,1567803507065,1567803508076,1567803508076,1811,1020,2831,14,0,False,On,90,Close,Left,word
3897,3897,participant_47,2,4,4,297,posture,Left_Close_90_Below,1567803509629,1567803510639,1567803510639,1543,1092,2635,23,6,False,Below,90,Close,Left,word
3899,3899,participant_47,2,4,5,299,posture,Left_Close_90_Beside,1567803511764,1567803512775,1567803512775,1044,1057,2101,29,0,False,Beside,90,Close,Left,click
3901,3901,participant_47,2,4,6,301,posture,Left_Close_180_On,1567803515194,1567803516241,1567803516241,2409,1321,3730,22,6,False,On,0,Close,Left,word
3903,3903,participant_47,2,4,7,303,posture,Left_Close_180_Below,1567803517595,1567803518774,1567803518774,1212,1458,2670,20,6,False,Below,0,Close,Left,click
3905,3905,participant_47,2,4,8,305,posture,Left_Close_180_Beside,1567803520266,1567803521443,1567803521443,1211,1153,2364,25,4,False,Beside,0,Close,Left,click
3907,3907,participant_47,2,4,9,307,posture,Left_Open_0_On,1567803524065,1567803525007,1567803525007,2411,1122,3533,29,0,False,On,180,Open,Left,word
3909,3909,participant_47,2,4,10,309,posture,Left_Open_0_Below,1567803527761,1567803528877,1567803528877,2748,1222,3970,20,8,False,Below,180,Open,Left,word
3911,3911,participant_47,2,4,11,311,posture,Left_Open_0_Beside,1567803530131,1567803530975,1567803530975,876,1122,1998,23,0,False,Beside,180,Open,Left,click
3913,3913,participant_47,2,4,12,313,posture,Left_Open_90_On,1567803533294,1567803534342,1567803534342,2245,1655,3900,28,0,False,On,90,Open,Left,word
3915,3915,participant_47,2,4,13,315,posture,Left_Open_90_Below,1567803536028,1567803536076,1567803536076,79,1721,1800,1,0,False,Below,90,Open,Left,click
3917,3917,participant_47,2,4,14,317,posture,Left_Open_90_Beside,1567803538563,1567803539509,1567803539509,1712,1386,3098,22,6,False,Beside,90,Open,Left,word
3919,3919,participant_47,2,4,15,319,posture,Left_Open_180_On,1567803540928,1567803542042,1567803542042,1147,990,2137,15,17,False,On,0,Open,Left,click
3921,3921,participant_47,2,4,16,321,posture,Left_Open_180_Below,1567803543894,1567803546240,1567803546240,3208,1124,4332,26,19,False,Below,0,Open,Left,word
3923,3923,participant_47,2,4,17,323,posture,Left_Open_180_Beside,1567803547963,1567803548906,1567803548906,1542,1693,3235,14,12,False,Beside,0,Open,Left,word
3925,3925,participant_47,2,4,18,325,posture,Right_Close_0_On,1567803550633,1567803552277,1567803552277,1678,1353,3031,29,0,False,On,180,Close,Right,click
3927,3927,participant_47,2,4,19,327,posture,Right_Close_0_Below,1567803553665,1567803554679,1567803554679,1049,1155,2204,30,0,False,Below,180,Close,Right,click
3929,3929,participant_47,2,4,20,329,posture,Right_Close_0_Beside,1567803556563,1567803557641,1567803557641,1807,1555,3362,24,3,False,Beside,180,Close,Right,word
3931,3931,participant_47,2,4,21,331,posture,Right_Close_90_On,1567803559230,1567803560445,1567803560445,1249,84,1333,28,0,False,On,90,Close,Right,click
3933,3933,participant_47,2,4,22,333,posture,Right_Close_90_Below,1567803563696,1567803565076,1567803565076,4547,1121,5668,17,11,False,Below,90,Close,Right,word
3935,3935,participant_47,2,4,23,335,posture,Right_Close_90_Beside,1567803566230,1567803568042,1567803568042,1845,1192,3037,23,4,False,Beside,90,Close,Right,click
3937,3937,participant_47,2,4,24,337,posture,Right_Close_180_On,1567803569263,1567803570310,1567803570310,1076,1455,2531,25,2,False,On,0,Close,Right,click
3939,3939,participant_47,2,4,25,339,posture,Right_Close_180_Below,1567803571799,1567803573947,1567803573947,2182,1084,3266,14,0,False,Below,0,Close,Right,click
3941,3941,participant_47,2,4,26,341,posture,Right_Close_180_Beside,1567803575932,1567803577075,1567803577075,2044,1324,3368,22,8,False,Beside,0,Close,Right,word
3943,3943,participant_47,2,4,27,343,posture,Right_Open_0_On,1567803578431,1567803579607,1567803579607,1208,1061,2269,28,0,False,On,180,Open,Right,click
3945,3945,participant_47,2,4,28,345,posture,Right_Open_0_Below,1567803581367,1567803582146,1567803582146,1478,1324,2802,13,8,False,Below,180,Open,Right,word
3947,3947,participant_47,2,4,29,347,posture,Right_Open_0_Beside,1567803585134,1567803586109,1567803586109,2639,1391,4030,27,1,False,Beside,180,Open,Right,word
3949,3949,participant_47,2,4,30,349,posture,Right_Open_90_On,1567803587530,1567803588645,1567803588645,1145,1223,2368,25,3,False,On,90,Open,Right,click
3951,3951,participant_47,2,4,31,351,posture,Right_Open_90_Below,1567803590502,1567803591443,1567803591443,1575,1094,2669,17,6,False,Below,90,Open,Right,word
3953,3953,participant_47,2,4,32,353,posture,Right_Open_90_Beside,1567803593401,1567803594542,1567803594542,2005,1293,3298,27,4,False,Beside,90,Open,Right,word
3955,3955,participant_47,2,4,33,355,posture,Right_Open_180_On,1567803595868,1567803596911,1567803596911,1076,57,1133,17,0,False,On,0,Open,Right,click
3957,3957,participant_47,2,4,34,357,posture,Right_Open_180_Below,1567803599500,1567803600644,1567803600644,3676,1156,4832,23,9,False,Below,0,Open,Right,word
3959,3959,participant_47,2,4,35,359,posture,Right_Open_180_Beside,1567803601832,1567803603175,1567803603175,1375,0,1375,27,4,False,Beside,0,Open,Right,click
4033,4033,participant_47,3,6,0,433,posture,Left_Close_0_On,1567803772672,1567803774118,1567803774118,1477,1323,2800,27,0,False,On,180,Close,Left,click
4035,4035,participant_47,3,6,1,435,posture,Left_Close_0_Below,1567803776173,1567803777184,1567803777184,1743,1520,3263,29,0,False,Below,180,Close,Left,word
4037,4037,participant_47,3,6,2,437,posture,Left_Close_0_Beside,1567803778740,1567803779853,1567803779853,1149,1187,2336,29,0,False,Beside,180,Close,Left,click
4041,4041,participant_47,3,6,4,441,posture,Left_Close_90_Below,1567803789641,1567803790584,1567803790584,3876,1690,5566,15,0,False,Below,90,Close,Left,word
4043,4043,participant_47,3,6,5,443,posture,Left_Close_90_Beside,1567803792303,1567803793381,1567803793381,1107,1160,2267,28,0,False,Beside,90,Close,Left,click
4045,4045,participant_47,3,6,6,445,posture,Left_Close_180_On,1567803795708,1567803796685,1567803796685,2144,1689,3833,22,4,False,On,0,Close,Left,word
4047,4047,participant_47,3,6,7,447,posture,Left_Close_180_Below,1567803798404,1567803799520,1567803799520,1146,1387,2533,25,6,False,Below,0,Close,Left,click
4049,4049,participant_47,3,6,8,449,posture,Left_Close_180_Beside,1567803800942,1567803801918,1567803801918,1011,1024,2035,25,4,False,Beside,0,Close,Left,click
4051,4051,participant_47,3,6,9,451,posture,Left_Open_0_On,1567803805138,1567803806187,1567803806187,3245,1017,4262,29,0,False,On,180,Open,Left,word
4053,4053,participant_47,3,6,10,453,posture,Left_Open_0_Below,1567803808175,1567803809120,1567803809120,1916,1255,3171,18,3,False,Below,180,Open,Left,word
4055,4055,participant_47,3,6,11,455,posture,Left_Open_0_Beside,1567803810408,1567803811415,1567803811415,1040,1327,2367,23,4,False,Beside,180,Open,Left,click
4057,4057,participant_47,3,6,12,457,posture,Left_Open_90_On,1567803813741,1567803814621,1567803814621,1879,1620,3499,18,4,False,On,90,Open,Left,word
4059,4059,participant_47,3,6,13,459,posture,Left_Open_90_Below,1567803816274,1567803817517,1567803817517,1276,1290,2566,29,0,False,Below,90,Open,Left,click
4061,4061,participant_47,3,6,14,461,posture,Left_Open_90_Beside,1567803821107,1567803822255,1567803822255,3448,1284,4732,23,4,False,Beside,90,Open,Left,word
4063,4063,participant_47,3,6,15,463,posture,Left_Open_180_On,1567803823575,1567803824518,1567803824518,979,225,1204,15,12,False,On,0,Open,Left,click
4065,4065,participant_47,3,6,16,465,posture,Left_Open_180_Below,1567803826240,1567803828853,1567803828853,4110,1121,5231,19,24,False,Below,0,Open,Left,word
4067,4067,participant_47,3,6,17,467,posture,Left_Open_180_Beside,1567803830878,1567803832020,1567803832020,2046,1025,3071,14,18,False,Beside,0,Open,Left,word
4069,4069,participant_47,3,6,18,469,posture,Right_Close_0_On,1567803833076,1567803834288,1567803834288,1243,1123,2366,20,11,False,On,180,Close,Right,click
4071,4071,participant_47,3,6,19,471,posture,Right_Close_0_Below,1567803835443,1567803837491,1567803837491,2080,1152,3232,28,0,False,Below,180,Close,Right,click
4073,4073,participant_47,3,6,20,473,posture,Right_Close_0_Beside,1567803839478,1567803840524,1567803840524,1881,1154,3035,30,0,False,Beside,180,Close,Right,word
4075,4075,participant_47,3,6,21,475,posture,Right_Close_90_On,1567803841711,1567803842790,1567803842790,1112,1021,2133,30,0,False,On,90,Close,Right,click
4077,4077,participant_47,3,6,22,477,posture,Right_Close_90_Below,1567803844477,1567803849490,1567803849490,5679,1559,7238,16,12,False,Below,90,Close,Right,word
4079,4079,participant_47,3,6,23,479,posture,Right_Close_90_Beside,1567803851078,1567803852426,1567803852426,1377,1188,2565,27,4,False,Beside,90,Close,Right,click
4081,4081,participant_47,3,6,24,481,posture,Right_Close_180_On,1567803853646,1567803854827,1567803854827,1213,1322,2535,25,5,False,On,0,Close,Right,click
4083,4083,participant_47,3,6,25,483,posture,Right_Close_180_Below,1567803856180,1567803857226,1567803857226,1077,1053,2130,15,14,False,Below,0,Close,Right,click
4085,4085,participant_47,3,6,26,485,posture,Right_Close_180_Beside,1567803859249,1567803860192,1567803860192,1913,1322,3235,15,9,False,Beside,0,Close,Right,word
4087,4087,participant_47,3,6,27,487,posture,Right_Open_0_On,1567803861550,1567803862893,1567803862893,1379,1320,2699,28,0,False,On,180,Open,Right,click
4089,4089,participant_47,3,6,28,489,posture,Right_Open_0_Below,1567803866049,1567803866925,1567803866925,2712,1122,3834,26,0,False,Below,180,Open,Right,word
4091,4091,participant_47,3,6,29,491,posture,Right_Open_0_Beside,1567803868681,1567803869827,1567803869827,1780,1123,2903,19,12,False,Beside,180,Open,Right,word
4093,4093,participant_47,3,6,30,493,posture,Right_Open_90_On,1567803870984,1567803872093,1567803872093,1143,1020,2163,24,4,False,On,90,Open,Right,click
4095,4095,participant_47,3,6,31,495,posture,Right_Open_90_Below,1567803873783,1567803874359,1567803874359,1246,1090,2336,12,8,False,Below,90,Open,Right,word
4097,4097,participant_47,3,6,32,497,posture,Right_Open_90_Beside,1567803876583,1567803877727,1567803877727,2278,1620,3898,19,8,False,Beside,90,Open,Right,word
4099,4099,participant_47,3,6,33,499,posture,Right_Open_180_On,1567803879381,1567803880493,1567803880493,1146,1092,2238,25,7,False,On,0,Open,Right,click
4101,4101,participant_47,3,6,34,501,posture,Right_Open_180_Below,1567803883082,1567803883159,1567803883159,1574,1555,3129,2,0,False,Below,0,Open,Right,word
4103,4103,participant_47,3,6,35,503,posture,Right_Open_180_Beside,1567803884752,1567803886594,1567803886594,1880,0,1880,23,8,False,Beside,0,Open,Right,click
4177,4177,participant_47,4,8,0,577,posture,Left_Close_0_On,1567804059224,1567804060402,1567804060402,1211,1153,2364,26,4,False,On,180,Close,Left,click
4179,4179,participant_47,4,8,1,579,posture,Left_Close_0_Below,1567804063288,1567804064537,1567804064537,2982,1352,4334,24,0,False,Below,180,Close,Left,word
4181,4181,participant_47,4,8,2,581,posture,Left_Close_0_Beside,1567804065924,1567804066934,1567804066934,1045,1089,2134,28,0,False,Beside,180,Close,Left,click
4183,4183,participant_47,4,8,3,583,posture,Left_Close_90_On,1567804068958,1567804070035,1567804070035,2012,1156,3168,29,0,False,On,90,Close,Left,word
4185,4185,participant_47,4,8,4,585,posture,Left_Close_90_Below,1567804072058,1567804072968,1567804072968,1777,1589,3366,14,0,False,Below,90,Close,Left,word
4187,4187,participant_47,4,8,5,587,posture,Left_Close_90_Beside,1567804074589,1567804075669,1567804075669,1112,1087,2199,8,0,False,Beside,90,Close,Left,click
4189,4189,participant_47,4,8,6,589,posture,Left_Close_180_On,1567804077521,1567804078604,1567804078604,1848,1320,3168,17,8,False,On,0,Close,Left,word
4191,4191,participant_47,4,8,7,591,posture,Left_Close_180_Below,1567804079956,1567804081137,1567804081137,1213,1052,2265,20,6,False,Below,0,Close,Left,click
4193,4193,participant_47,4,8,8,593,posture,Left_Close_180_Beside,1567804082225,1567804083299,1567804083299,1110,1425,2535,20,0,False,Beside,0,Close,Left,click
4195,4195,participant_47,4,8,9,595,posture,Left_Open_0_On,1567804085690,1567804086768,1567804086768,2044,1121,3165,29,0,False,On,180,Open,Left,word
4197,4197,participant_47,4,8,10,597,posture,Left_Open_0_Below,1567804088559,1567804090866,1567804090866,2977,1127,4104,28,3,False,Below,180,Open,Left,word
4199,4199,participant_47,4,8,11,599,posture,Left_Open_0_Beside,1567804092024,1567804093033,1567804093033,1040,1127,2167,25,0,False,Beside,180,Open,Left,click
4201,4201,participant_47,4,8,12,601,posture,Left_Open_90_On,1567804095159,1567804096137,1567804096137,1977,923,2900,24,0,False,On,90,Open,Left,word
4203,4203,participant_47,4,8,13,603,posture,Left_Open_90_Below,1567804097093,1567804097606,1567804097606,546,1154,1700,19,0,False,Below,90,Open,Left,click
4205,4205,participant_47,4,8,14,605,posture,Left_Open_90_Beside,1567804099589,1567804100569,1567804100569,1809,987,2796,23,4,False,Beside,90,Open,Left,word
4207,4207,participant_47,4,8,15,607,posture,Left_Open_180_On,1567804101588,1567804102803,1567804102803,1247,1788,3035,24,0,False,On,0,Open,Left,click
4209,4209,participant_47,4,8,16,609,posture,Left_Open_180_Below,1567804105426,1567804107734,1567804107734,3143,1024,4167,23,16,False,Below,0,Open,Left,word
