,Participant,Block,Sequence,Sub_Sequence,Trial,Target_Type,Target_Name,Start_Time,End_Time,First_Reaction_Time,Mode_In_Time,Mode_Out_Time,Execution_Time,Reference_Action_Count,Incorrect_Action_Count,Error,IV_Surface,IV_Orientation,IV_Form,IV_Hand,Reference_Task
84,participant_31,0,1,6,84,word,hurry,1567119198941,1567119200872,1567119199004,130,4836,4966,0,0,False,NA,NA,NA,NA,NA
85,participant_31,0,1,6,85,shortcut,F,1567119200908,1567119203840,1567119203840,4836,2001,6837,0,0,False,shortcut,shortcut,shortcut,shortcut,word
86,participant_31,0,1,7,86,click,click me,1567119203906,1567119205841,1567119205841,2001,2436,4437,0,0,False,NA,NA,NA,NA,NA
87,participant_31,0,1,7,87,shortcut,H,1567119205873,1567119208277,1567119208277,2436,1062,3498,0,0,False,shortcut,shortcut,shortcut,shortcut,click
88,participant_31,0,1,8,88,click,click me,1567119208339,1567119209339,1567119209339,1062,1866,2928,0,0,False,NA,NA,NA,NA,NA
89,participant_31,0,1,8,89,shortcut,M,1567119209373,1567119211205,1567119211205,1866,100,1966,0,0,False,shortcut,shortcut,shortcut,shortcut,click
90,participant_31,0,1,9,90,word,While,1567119211274,1567119213607,1567119211305,100,4402,4502,0,0,False,NA,NA,NA,NA,NA
91,participant_31,0,1,9,91,shortcut,L,1567119213639,1567119215707,1567119215707,4402,130,4532,0,0,False,shortcut,shortcut,shortcut,shortcut,word
92,participant_31,0,1,10,92,word,paper,1567119215775,1567119219142,1567119215837,130,5470,5600,0,0,False,NA,NA,NA,NA,NA
93,participant_31,0,1,10,93,shortcut,C,1567119219175,1567119221307,1567119221307,5470,1233,6703,0,0,False,shortcut,shortcut,shortcut,shortcut,word
94,participant_31,0,1,11,94,click,click me,1567119221375,1567119222540,1567119222540,1233,1665,2898,0,0,False,NA,NA,NA,NA,NA
95,participant_31,0,1,11,95,shortcut,left,1567119222575,1567119224205,1567119224205,1665,137,1802,0,0,False,shortcut,shortcut,shortcut,shortcut,click
96,participant_31,0,1,12,96,word,burst,1567119224275,1567119226643,1567119224342,137,4198,4335,0,0,False,NA,NA,NA,NA,NA
97,participant_31,0,1,12,97,shortcut,G,1567119226675,1567119228540,1567119228540,4198,2100,6298,0,0,False,shortcut,shortcut,shortcut,shortcut,word
98,participant_31,0,1,13,98,click,click me,1567119228609,1567119230640,1567119230640,2100,2166,4266,0,0,False,NA,NA,NA,NA,NA
99,participant_31,0,1,13,99,shortcut,X,1567119230675,1567119232806,1567119232806,2166,102,2268,0,0,False,shortcut,shortcut,shortcut,shortcut,click
100,participant_31,0,1,14,100,word,angry,1567119232876,1567119235306,1567119232908,102,4832,4934,0,0,False,NA,NA,NA,NA,NA
101,participant_31,0,1,14,101,shortcut,K,1567119235341,1567119237740,1567119237740,4832,1800,6632,0,0,False,shortcut,shortcut,shortcut,shortcut,word
102,participant_31,0,1,15,102,click,click me,1567119237805,1567119239540,1567119239540,1800,1901,3701,0,0,False,NA,NA,NA,NA,NA
103,participant_31,0,1,15,103,shortcut,D,1567119239572,1567119241441,1567119241441,1901,101,2002,0,0,False,shortcut,shortcut,shortcut,shortcut,click
104,participant_31,0,1,16,104,word,never,1567119241509,1567119243340,1567119241542,101,3867,3968,0,0,False,NA,NA,NA,NA,NA
105,participant_31,0,1,16,105,shortcut,P,1567119243375,1567119245409,1567119245409,3867,98,3965,0,0,False,shortcut,shortcut,shortcut,shortcut,word
106,participant_31,0,1,17,106,word,civil,1567119245473,1567119248276,1567119245507,98,4402,4500,0,0,False,NA,NA,NA,NA,NA
107,participant_31,0,1,17,107,shortcut,H,1567119248310,1567119249909,1567119249909,4402,1633,6035,0,0,False,shortcut,shortcut,shortcut,shortcut,word
108,participant_31,0,1,18,108,click,click me,1567119249973,1567119251542,1567119251542,1633,1931,3564,0,0,False,NA,NA,NA,NA,NA
109,participant_31,0,1,18,109,shortcut,Q,1567119251572,1567119253473,1567119253473,1931,1437,3368,0,0,False,shortcut,shortcut,shortcut,shortcut,click
110,participant_31,0,1,19,110,click,click me,1567119253542,1567119254910,1567119254910,1437,2696,4133,0,0,False,NA,NA,NA,NA,NA
111,participant_31,0,1,19,111,shortcut,T,1567119254942,1567119257606,1567119257606,2696,66,2762,0,0,False,shortcut,shortcut,shortcut,shortcut,click
112,participant_31,0,1,20,112,word,shoot,1567119257672,1567119260242,1567119257672,66,5405,5471,0,0,False,NA,NA,NA,NA,NA
113,participant_31,0,1,20,113,shortcut,W,1567119260276,1567119263077,1567119263077,5405,1334,6739,0,0,False,shortcut,shortcut,shortcut,shortcut,word
114,participant_31,0,1,21,114,click,click me,1567119263145,1567119264411,1567119264411,1334,2100,3434,0,0,False,NA,NA,NA,NA,NA
115,participant_31,0,1,21,115,shortcut,X,1567119264439,1567119266511,1567119266511,2100,62,2162,0,0,False,shortcut,shortcut,shortcut,shortcut,click
