,Participant,Block,Sequence,Sub_Sequence,Trial,Target_Type,Target_Name,Start_Time,End_Time,First_Reaction_Time,Mode_In_Time,Mode_Out_Time,Execution_Time,Completion_Time,Reference_Action_Count,Incorrect_Action_Count,Error,IV_Surface,IV_Orientation,IV_Form,IV_Hand,Previous_Reference_Task,Next_Reference_Task
257,participant_31,1,3,20,257,shortcut,left,1567119588395,1567119589934,1567119589934,5101,1700,6801,1539,0,0,False,shortcut,shortcut,shortcut,shortcut,word,click
261,participant_31,1,3,22,261,shortcut,N,1567119596332,1567119598668,1567119598668,4267,1529,5796,2336,0,0,False,shortcut,shortcut,shortcut,shortcut,word,click
263,participant_31,1,3,23,263,shortcut,E,1567119600230,1567119602065,1567119602065,1868,1670,3538,1835,0,0,False,shortcut,shortcut,shortcut,shortcut,click,click
265,participant_31,1,3,24,265,shortcut,C,1567119603765,1567119605865,1567119605865,2130,1132,3262,2100,0,0,False,shortcut,shortcut,shortcut,shortcut,click,click
267,participant_31,1,3,25,267,shortcut,L,1567119607031,1567119608933,1567119608933,1936,64,2000,1902,0,0,False,shortcut,shortcut,shortcut,shortcut,click,word
269,participant_31,1,3,26,269,shortcut,N,1567119612468,1567119613967,1567119613967,4970,1401,6371,1499,0,0,False,shortcut,shortcut,shortcut,shortcut,word,click
273,participant_31,1,3,28,273,shortcut,B,1567119619798,1567119621936,1567119621936,3770,98,3868,2138,0,0,False,shortcut,shortcut,shortcut,shortcut,word,word
275,participant_31,1,3,29,275,shortcut,G,1567119624034,1567119626367,1567119626367,4333,1532,5865,2333,0,0,False,shortcut,shortcut,shortcut,shortcut,word,click
277,participant_31,1,3,30,277,shortcut,M,1567119627933,1567119630302,1567119630302,2403,65,2468,2369,0,0,False,shortcut,shortcut,shortcut,shortcut,click,word
279,participant_31,1,3,31,279,shortcut,H,1567119632898,1567119634598,1567119634598,4231,100,4331,1700,0,0,False,shortcut,shortcut,shortcut,shortcut,word,word
281,participant_31,1,3,32,281,shortcut,R,1567119636734,1567119638835,1567119638835,4137,1067,5204,2101,0,0,False,shortcut,shortcut,shortcut,shortcut,word,click
283,participant_31,1,3,33,283,shortcut,M,1567119639932,1567119641668,1567119641668,1766,65,1831,1736,0,0,False,shortcut,shortcut,shortcut,shortcut,click,word
